year,name,total_pop,total_hisc_pop,total_dominican_pop,state
2005-01-01,Alabama,4442558.0,4442558.0,178.0,01
2005-01-01,Alaska,641724.0,,,02
2005-01-01,Arizona,5829839.0,5829839.0,1989.0,04
2005-01-01,Arkansas,2701431.0,,,05
2005-01-01,California,35278768.0,35278768.0,12086.0,06
2005-01-01,Colorado,4562244.0,4562244.0,511.0,08
2005-01-01,Connecticut,3394751.0,3394751.0,14809.0,09
2005-01-01,Delaware,818587.0,818587.0,726.0,10
2005-01-01,District of Columbia,515118.0,515118.0,2689.0,11
2005-01-01,Florida,17382511.0,17382511.0,121675.0,12
2005-01-01,Georgia,8821142.0,8821142.0,4290.0,13
2005-01-01,Hawaii,1238158.0,,,15
2005-01-01,Idaho,1395634.0,,,16
2005-01-01,Illinois,12440351.0,12440351.0,4467.0,17
2005-01-01,Indiana,6093372.0,6093372.0,927.0,18
2005-01-01,Iowa,2862541.0,,,19
2005-01-01,Kansas,2662616.0,,,20
2005-01-01,Kentucky,4058633.0,4058633.0,1210.0,21
2005-01-01,Louisiana,4389747.0,4389747.0,729.0,22
2005-01-01,Maine,1283673.0,,,23
2005-01-01,Maryland,5461318.0,5461318.0,9096.0,24
2005-01-01,Massachusetts,6182860.0,6182860.0,81136.0,25
2005-01-01,Michigan,9865583.0,9865583.0,2426.0,26
2005-01-01,Minnesota,4989848.0,4989848.0,845.0,27
2005-01-01,Mississippi,2824156.0,,,28
2005-01-01,Missouri,5631910.0,5631910.0,1091.0,29
2005-01-01,Montana,910651.0,,,30
2005-01-01,Nebraska,1706976.0,,,31
2005-01-01,Nevada,2381281.0,2381281.0,782.0,32
2005-01-01,New Hampshire,1272486.0,,,33
2005-01-01,New Jersey,8521427.0,8521427.0,159118.0,34
2005-01-01,New Mexico,1887200.0,1887200.0,156.0,35
2005-01-01,New York,18655275.0,18655275.0,602285.0,36
2005-01-01,North Carolina,8411041.0,8411041.0,4597.0,37
2005-01-01,North Dakota,609645.0,,,38
2005-01-01,Ohio,11155606.0,11155606.0,4199.0,39
2005-01-01,Oklahoma,3433496.0,3433496.0,422.0,40
2005-01-01,Oregon,3560109.0,3560109.0,0.0,41
2005-01-01,Pennsylvania,11979147.0,11979147.0,29446.0,42
2005-01-01,Rhode Island,1032662.0,1032662.0,30888.0,44
2005-01-01,South Carolina,4113961.0,4113961.0,1227.0,45
2005-01-01,South Dakota,746033.0,,,46
2005-01-01,Tennessee,5810590.0,5810590.0,654.0,47
2005-01-01,Texas,22270165.0,22270165.0,10216.0,48
2005-01-01,Utah,2427350.0,2427350.0,415.0,49
2005-01-01,Vermont,602290.0,,,50
2005-01-01,Virginia,7332608.0,7332608.0,5627.0,51
2005-01-01,Washington,6146338.0,6146338.0,1120.0,53
2005-01-01,West Virginia,1771750.0,,,54
2005-01-01,Wisconsin,5375751.0,5375751.0,1015.0,55
2005-01-01,Wyoming,495226.0,,,56
2005-01-01,Puerto Rico,3865280.0,3865280.0,66117.0,72
2006-01-01,Alabama,4599030.0,4599030.0,137.0,01
2006-01-01,Alaska,670053.0,,,02
2006-01-01,Arizona,6166318.0,6166318.0,2110.0,04
2006-01-01,Arkansas,2810872.0,2810872.0,706.0,05
2006-01-01,California,36457549.0,36457549.0,5915.0,06
2006-01-01,Colorado,4753377.0,4753377.0,1648.0,08
2006-01-01,Connecticut,3504809.0,3504809.0,17213.0,09
2006-01-01,Delaware,853476.0,,,10
